"Source:","/Users/keith/circuits/Quad_Drone/Quad_Drone.kicad_sch"
"Date:","Saturday, October 04, 2025 at 10:26:52 AM"
"Tool:","Eeschema (6.0.2-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","30"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","10uf","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","C2","10uf","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","C3","4.7uf","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","C4","2.2uf","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","D1","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D2","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D3","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D4","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","FREQ1","10k","Device:R_Potentiometer_US","Connector_Wire:SolderWire-0.75sqmm_1x03_P4.8mm_D1.25mm_OD2.3mm","~"
"","","FREQ2","10k","Device:R_Potentiometer_US","Connector_Wire:SolderWire-0.75sqmm_1x03_P4.8mm_D1.25mm_OD2.3mm","~"
"","","FREQ3","10k","Device:R_Potentiometer_US","Connector_Wire:SolderWire-0.75sqmm_1x03_P4.8mm_D1.25mm_OD2.3mm","~"
"","","FREQ4","10k","Device:R_Potentiometer_US","Connector_Wire:SolderWire-0.75sqmm_1x03_P4.8mm_D1.25mm_OD2.3mm","~"
"","","J1","OUT","Connector:AudioJack2","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm","~"
"","","J2","DC IN","Connector:Jack-DC","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm","~"
"","","Q1","2N3904","Transistor_BJT:2N3904","a_images:TO-92-2-modified","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"","","Q2","2N3904","Transistor_BJT:2N3904","a_images:TO-92-2-modified","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"","","Q3","2N3904","Transistor_BJT:2N3904","a_images:TO-92-2-modified","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"","","Q4","2N3904","Transistor_BJT:2N3904","a_images:TO-92-2-modified","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"","","R1","1K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R2","1K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R3","1K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R4","1K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R5","100K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R6","100K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R7","100K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R8","100K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","SW1","ON/OFF","Switch:SW_SPST","Connector_Wire:SolderWire-0.75sqmm_1x03_P4.8mm_D1.25mm_OD2.3mm","~"
"","","SW2","ON/OFF","Switch:SW_SPST","Connector_Wire:SolderWire-0.75sqmm_1x03_P4.8mm_D1.25mm_OD2.3mm","~"
"","","SW3","ON/OFF","Switch:SW_SPST","Connector_Wire:SolderWire-0.75sqmm_1x03_P4.8mm_D1.25mm_OD2.3mm","~"
"","","SW4","ON/OFF","Switch:SW_SPST","Connector_Wire:SolderWire-0.75sqmm_1x03_P4.8mm_D1.25mm_OD2.3mm","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","C1, C2","10uf","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"2","1","C3","4.7uf","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"3","1","C4","2.2uf","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"4","4","D1, D2, D3, D4","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"5","4","FREQ1, FREQ2, FREQ3, FREQ4","10k","Device:R_Potentiometer_US","Connector_Wire:SolderWire-0.75sqmm_1x03_P4.8mm_D1.25mm_OD2.3mm","~"
